,Date,target,Volume,Volume_in_past1,Volume_in_past2,price_in_past1,price_in_past2,delta_target,delta_price_in_past,delta_volume_in_past,sp500,sp500_in_past1,sp500_in_past2,delta_sp500_in_past
0,2024-03-28,89.97043098866838,435212000,586067000.0,513648000.0,93.08141149546424,95.8195062336972,-0.033422145805636495,-0.028575546314702712,0.14098954926330873,516.6345318569229,515.1533580296681,514.679364426303,0.0009209493057749612
1,2024-04-01,90.26933865065378,452441000,435212000.0,586067000.0,89.97043098866838,93.08141149546424,0.0033222877638881486,-0.033422145805636495,-0.25740231065731395,517.2467729199333,516.6345318569229,515.1533580296681,0.0028752094966825216
2,2024-04-02,88.41893947358703,433064000,452441000.0,435212000.0,90.26933865065378,89.97043098866838,-0.02049864555037755,0.0033222877638881486,0.039587603282997715,511.72696240109013,517.2467729199333,516.6345318569229,0.0011850564088502621
3,2024-04-03,88.45493823513225,370067000,433064000.0,452441000.0,88.41893947358703,90.26933865065378,0.00040713858093682824,-0.02049864555037755,-0.04282768360957561,511.21349992961393,511.72696240109013,517.2467729199333,-0.01067152239091413
4,2024-04-04,90.37629845117095,434965000,370067000.0,433064000.0,88.45493823513225,88.41893947358703,0.021721344838106362,0.00040713858093682824,-0.145468106330704,516.940660005626,511.21349992961393,511.72696240109013,-0.0010033914747563217
5,2024-04-05,86.83745712010142,399678000,434965000.0,370067000.0,90.37629845117095,88.45493823513225,-0.03915674122216369,0.021721344838106362,0.17536824412876587,507.99450352753723,516.940660005626,511.21349992961393,0.011203068926780316
6,2024-04-08,88.67085666122206,283220000,399678000.0,434965000.0,86.83745712010142,90.37629845117095,0.021113003557726707,-0.03915674122216369,-0.08112606761463566,512.6256378064048,507.99450352753723,516.940660005626,-0.017305964050093107
7,2024-04-09,87.41326961083752,503547000,283220000.0,399678000.0,88.67085666122206,86.83745712010142,-0.014182642389362607,0.021113003557726707,-0.2913795605462397,513.9585589840982,512.6256378064048,507.99450352753723,0.009116504699772895
8,2024-04-10,83.89843024698811,431929000,503547000.0,283220000.0,87.41326961083752,88.67085666122206,-0.04020944851390885,-0.014182642389362607,0.7779358802344467,507.02678122640623,513.9585589840982,512.6256378064048,0.002600184382890272
9,2024-04-11,87.39128560717941,431637000,431929000.0,503547000.0,83.89843024698811,87.41326961083752,0.04163195127618839,-0.04020944851390885,-0.14222704136853165,509.1991398026987,507.02678122640623,513.9585589840982,-0.013487036331087627
