,Date,target,Volume,Volume_in_past1,Volume_in_past2,price_in_past1,price_in_past2,delta_target,delta_price_in_past,delta_volume_in_past,sp500,sp500_in_past1,sp500_in_past2,delta_sp500_in_past
0,2020-04-14,6.849763610018782,530948000,398408000.0,525564000.0,6.489839934450246,6.775039347078759,0.05545956128408359,-0.042095609784389594,-0.24194198993842805,261.2493529164219,257.6790314843199,258.0880943679367,-0.0015849738618071544
1,2020-04-15,6.904561298379728,366148000,530948000.0,398408000.0,6.849763610018782,6.489839934450246,0.007999938608216513,0.05545956128408359,0.3326740426899058,258.0787718434594,261.2493529164219,257.6790314843199,0.013855692531657353
2,2020-04-16,7.150655027784946,745620000,366148000.0,530948000.0,6.904561298379728,6.849763610018782,0.03564219633519195,0.007999938608216513,-0.3103882112749271,259.5478508998996,258.0787718434594,261.2493529164219,-0.012136225554506375
3,2020-04-17,7.42265265770683,539120000,745620000.0,366148000.0,7.150655027784946,6.904561298379728,0.03803814180169448,0.03564219633519195,1.0363896566415767,265.34037107877293,259.5478508998996,258.0787718434594,0.005692366892273031
4,2020-04-20,7.154641357933581,449388000,539120000.0,745620000.0,7.42265265770683,7.150655027784946,-0.03610721289712732,0.03803814180169448,-0.276950725570666,262.7649235421949,265.34037107877293,259.5478508998996,0.02231773508734378
5,2020-04-21,7.031841996046152,735160000,449388000.0,539120000.0,7.154641357933581,7.42265265770683,-0.017163594336040373,-0.03610721289712732,-0.1664416085472622,257.29780025339164,262.7649235421949,265.34037107877293,-0.009706203116047755
6,2020-04-22,6.905309503891519,483356000,735160000.0,449388000.0,7.031841996046152,7.154641357933581,-0.017994217194553002,-0.017163594336040373,0.6359137315638157,258.8040389101053,257.29780025339164,262.7649235421949,-0.020806138106653813
7,2020-04-23,7.1695851787187115,424160000,483356000.0,735160000.0,6.905309503891519,7.031841996046152,0.03827137287304198,-0.017994217194553002,-0.3425159149028783,260.7937802711861,258.8040389101053,257.29780025339164,0.005854067369523918
8,2020-04-24,7.0639747533807835,352328000,424160000.0,483356000.0,7.1695851787187115,6.905309503891519,-0.014730339720547372,0.03827137287304198,-0.12246873939704897,261.0169736937422,260.7937802711861,258.8040389101053,0.007688216031945054
9,2020-04-27,7.347679246189242,479388000,352328000.0,424160000.0,7.0639747533807835,7.1695851787187115,0.04016216120714172,-0.014730339720547372,-0.1693511882308563,265.09862995227377,261.0169736937422,260.7937802711861,0.0008558234108344923
10,2020-04-28,7.547192941781907,442904000,479388000.0,352328000.0,7.347679246189242,7.0639747533807835,0.027153294109312064,0.04016216120714172,0.360629867623351,270.5843753530903,265.09862995227377,261.0169736937422,0.01563751276696918
11,2020-04-29,7.392016524384657,379160000,442904000.0,479388000.0,7.547192941781907,7.347679246189242,-0.02056081229064375,0.027153294109312064,-0.07610536767712166,271.0584615413226,270.5843753530903,265.09862995227377,0.020693224260737032
12,2020-04-30,7.380059846645527,375916000,379160000.0,442904000.0,7.392016524384657,7.547192941781907,-0.0016175123120582516,-0.02056081229064375,-0.14392283655148747,271.2258243666568,271.0584615413226,270.5843753530903,0.0017520826456206865
13,2020-05-01,7.0826553577426115,342096000,375916000.0,379160000.0,7.380059846645527,7.392016524384657,-0.04029838444170552,-0.0016175123120582516,-0.008555754826458487,265.275314984306,271.2258243666568,271.0584615413226,0.0006174418034491902
14,2020-05-04,6.996224123851713,317556000,342096000.0,375916000.0,7.0826553577426115,7.380059846645527,-0.012203224571193341,-0.04029838444170552,-0.08996690750061184,261.0262705544154,265.275314984306,271.2258243666568,-0.021939317158481884
15,2020-05-05,7.359635380039009,368896000,317556000.0,342096000.0,6.996224123851713,7.0826553577426115,0.05194391285269795,-0.012203224571193341,-0.07173425003507787,266.511917840321,261.0262705544154,265.275314984306,-0.01601748896289872
